,SiteId,SiteName,TWD67Lon,TWD67Lat
644,C1Z030,紅葉,121.3306,23.495
645,C0Z020,明里,121.2542,23.2106
646,C1Z010,卓樂,121.2636,23.2989
647,C1T990,高寮,121.3486,23.3961
648,C1S660,下馬,121.0622,23.1522
649,C0S830,長濱,121.4039,23.2886
650,C0S810,東河,121.2983,22.9736
651,C1S630,都蘭,121.2208,22.8797
652,C1S620,土阪,120.8794,22.4547
653,C0T960,光復,121.4168,23.6625
654,C0T870,鯉魚潭,121.5008,23.9374
655,C0T841,新城,121.6013,24.0397
656,C0T820,天祥,121.4875,24.1814
657,C1T830,布洛灣,121.5631,24.1736
658,C1T970,大農,121.4052,23.617
659,C1T950,太安,121.3619,23.6686
660,C1T940,大觀,121.365,23.7161
661,C1T910,東壙,121.3969,23.8556
662,C0T900,西林,121.4332,23.8137
663,C1T920,中興,121.4905,23.7713
664,C1T850,吉安,121.5547,23.9753
665,C1T800,洛韶,121.4458,24.2064
666,C1T810,慈恩,121.3803,24.1939
667,C0U730,思源,121.3486,24.3989
668,C0U710,太平山,121.5175,24.5072
669,C0U650,玉蘭,121.5789,24.6772
670,C0U600,礁溪,121.7574,24.8193
671,C0A970,三貂角,121.9939,25.0094
672,C0U520,雙連埤,121.6331,24.7547
673,C1U670,寒溪,121.7083,24.6361
674,C1U580,北關,121.8653,24.9092
675,C1U630,再連,121.6711,24.7169
676,C1U610,大礁溪,121.67,24.7878
677,C0U620,壯圍,121.7814,24.7456
678,C1U860,頭城,121.8226,24.855
679,C1U660,三星,121.6461,24.6725
680,C0U680,冬山,121.7853,24.6342
681,C1U690,新寮,121.7431,24.6275
682,C1U720,南山,121.3733,24.4392
683,C0A940,金山,121.6356,25.2253
684,C0A930,三和,121.587,25.2349
685,C0A890,雙溪,121.8561,25.0379
686,C0A880,福隆,121.9342,25.0192
687,C0A870,五指山,121.6003,25.1339
688,C0A860,大坪,121.6248,25.1677
689,C0A920,富貴角,121.5573,25.2656
690,C0X080,佳里,120.1367,23.175
691,C0K291,宜梧,120.1612,23.538
692,C0K280,四湖,120.2172,23.6311
693,C0K330,虎尾,120.4339,23.7209
694,C0M530,奮起湖,120.6911,23.4958
695,C1I140,卡奈托灣,121.0797,23.7561
696,C1I150,青雲,120.9411,23.8008
697,C1M570,大湖,120.6121,23.4767
698,C1M480,獨立山,120.5994,23.5386
699,C0X050,東河,120.3775,23.2983
700,C0M520,東後寮,120.2399,23.3716
701,C0X060,下營,120.2482,23.2287
702,C0X290,北門,120.1174,23.2695
703,C1X040,東原,120.4553,23.2931
704,C0I010,廬山,121.1733,24.035
705,C0H990,昆陽,121.2654,24.1231
706,C1I050,丹大,121.1328,23.7556
707,C1I070,和社,120.8808,23.5925
708,C1I020,萬大,121.124,23.9816
709,C1H000,翠峰,121.197,24.1112
710,C1I030,武界,121.0442,23.9147
711,C0G650,員林,120.5775,23.9483
712,C0G640,鹿港,120.4222,24.0769
713,C0I090,鳳凰,120.7792,23.7297
714,C0K240,草嶺,120.6853,23.5973
715,C0I110,竹山,120.6778,23.7647
716,C0F000,大肚,120.564,24.1547
717,C0G660,溪湖,120.4711,23.9518
718,C0F9X0,大雅,120.6162,24.2171
719,C1G690,下水埔,120.5594,23.8178
720,C1I101,溪頭,120.7992,23.6631
721,C1I131,桶頭,120.6456,23.6442
722,C1I121,大鞍,120.7517,23.6803
723,C0H9A0,神木村,120.8356,23.5345
724,C0H960,草屯,120.6722,23.9754
725,C1H971,六分寮,120.6297,23.9268
726,C0G620,芬園,120.6131,24.0172
727,C0F970,大坑,120.7141,24.1749
728,C1H860,瑞岩,121.175,24.1256
729,C0H950,中寮,120.7585,23.8863
730,C1H941,雙冬,120.7942,23.9692
731,C1H920,長豐,120.8717,24.1039
732,C1H900,清流,120.9547,24.0828
733,C0R220,潮州,120.532,22.5361
734,C0V250,甲仙,120.5825,23.0817
735,C0R150,三地門,120.6319,22.7117
736,C0R100,尾寮山,120.6758,22.8349
737,C0V310,美濃,120.5111,22.9006
738,C0V370,古亭坑,120.3939,22.895
739,C1V160,達卡努瓦,120.6972,23.2817
740,C1I440,新高口,120.8707,23.4805
741,C1V170,排雲,120.946,23.4651
742,C1V190,南天池,120.9036,23.2758
743,C1V200,梅山,120.8154,23.2703
744,C1R201,龍泉,120.5925,22.6683
745,C1V220,小關山,120.8053,23.1558
746,C1N001,沙崙,120.3013,22.9373
747,C1R110,口社,120.6372,22.7719
748,C1V340,大津,120.6381,22.89
749,C1V300,御油山,120.7069,23.0039
750,C0R590,里港,120.4865,22.781
751,C1V390,尖山,120.3597,22.815
752,C1R120,上德文,120.6964,22.765
753,C0O930,玉井,120.4525,23.1278
754,C0O810,曾文,120.4892,23.2215
755,C0O900,善化,120.2894,23.1144
756,C0V150,表湖,120.6561,23.2619
757,C0M410,馬頭山,120.5736,23.3264
758,C1M390,龍美,120.6458,23.4078
759,C1O920,楠西,120.4766,23.1841
760,C1O880,關山,120.5858,23.175
761,C1M400,菜瓜坪,120.5683,23.2536
762,C1O870,大棟山,120.5142,23.3133
763,C1O850,環湖,120.4103,23.15
764,C0H9C0,合歡山,121.2641,24.1448
765,C0F860,梨山,121.2377,24.245
766,C0F900,雙崎,120.8964,24.2903
767,C1H9B1,阿眉,120.9861,24.1278
768,C1F871,上谷關,121.0105,24.2034
769,C1F891,稍來,120.9931,24.2675
770,C1F911,新伯公,120.8328,24.2233
771,C0F0B0,石岡,120.7695,24.2778
772,C0F850,東勢,120.8249,24.2482
773,C0F930,大甲,120.6324,24.3499
774,C1E461,松安,120.9778,24.3994
775,C1E451,象鼻,120.9322,24.3703
776,C1F941,雪嶺,121.0186,24.2825
777,C0E530,三義,120.7578,24.4128
778,C0E610,馬都安,120.9219,24.4531
779,C0D360,梅花,121.2004,24.6801
780,C0E430,南庄,120.9921,24.6032
781,C0E420,竹南,120.8808,24.7108
782,C0D480,打鐵坑,121.1426,24.8518
783,C1E601,南勢,120.7264,24.5744
784,C0E590,通霄,120.6964,24.4736
785,C0E550,明德,120.8772,24.5853
786,C0E540,後龍,120.7756,24.6081
787,C0E520,大湖,120.8627,24.4167
788,C1E480,鳳美,121.0261,24.5567
789,C1D420,太閣南,121.1522,24.6347
790,C1D410,白蘭,121.0718,24.5811
791,C0E850,大河,120.9406,24.6198
792,C0D430,峨眉,121.0091,24.6924
793,C1D400,鳥嘴山,121.2757,24.7209
794,C0D390,關西,121.1657,24.8001
795,C1D380,新埔,121.0301,24.8492
796,C0C490,八德,121.275,24.9305
797,C1C510,水尾,121.0789,24.9419
798,C0C480,桃園,121.315,24.9943
799,C0C540,埔心,121.2178,25.0494
800,C0AH50,林口,121.3726,25.074
801,C0A570,桶後,121.5896,24.8501
802,C0A520,山佳,121.3938,24.9767
803,C0A580,屈尺,121.5381,24.9242
804,C0AC80,文山,121.5675,25.0041
805,C0A650,火燒寮,121.7346,25.0044
806,C0A640,石碇,121.6546,24.9958
807,C0AG90,中和,121.4822,24.9945
808,C0ACA0,新莊,121.4385,25.0533
809,C0A660,瑞芳,121.7926,25.1149
810,C1AC50,關渡,121.4612,25.1353
811,C1A730,公館,121.5313,25.0162
812,A0W100,九宮碼頭,118.2563,24.4275
813,A2K570,古坑,120.5404,23.6361
814,467730,新阿里山,120.8072,23.5184
815,467050,新屋,121.0393,25.0085
816,A0K420,麥寮,120.2096,23.8005
817,467990,馬祖,119.9151,26.171
818,467110,金門,118.2811,24.4089
819,A0W080,吉貝,119.596,23.7417
820,A0Z080,合歡山,121.2682,24.1463
821,A0G720,彰師大,120.5485,24.0831
822,466920,臺北,121.5066,25.0394
823,A0A9M0,新店,121.5164,24.9608
824,A0T780,太魯閣,121.6069,24.1618
825,D2F230,武陵,121.3518,24.3818
826,A0C540,拉拉山,121.3957,24.6921
827,A0W030,金門(東),118.4251,24.4183
828,467420,永康,120.2286,23.0401
829,468100,東沙島,116.722,20.7024
830,467300,東吉島,119.6594,23.2587
831,466950,彭佳嶼,122.0715,25.6298
832,467620,蘭嶼,121.5503,22.0388
833,467540,大武,120.8957,22.3574
834,467660,臺東,121.1465,22.754
835,467610,成功,121.3653,23.0993
836,466990,花蓮,121.6051,23.9769
837,467060,蘇澳,121.8492,24.5986
838,467080,宜蘭,121.7483,24.7658
839,467590,恆春,120.7383,22.0057
840,467440,高雄,120.3077,22.5677
841,467410,臺南,120.1967,22.995
842,467480,嘉義,120.4248,23.4977
843,467550,玉山,120.9514,23.4894
844,467530,阿里山,120.8051,23.51
845,467350,澎湖,119.555,23.5672
846,467770,梧棲,120.5152,24.2578
847,467490,臺中,120.6759,24.1475
848,467571,新竹,121.006,24.8296
849,466910,鞍部,121.5215,25.1844
850,466930,竹子湖,121.5363,25.1639
851,466880,板橋,121.4338,24.9994
852,466900,淡水,121.4407,25.1667
853,466940,基隆,121.7322,25.1351
854,C1I230,九份二山,120.8369,23.9637
855,81U930,寒溪F,121.6531,24.6199
856,81U920,寒溪B,121.6691,24.598
857,81E880,火炎山,120.7211,24.3578
858,88U830,寒溪A,121.6798,24.6123
859,467650,日月潭,120.8999,23.8831
860,81I530,神木,120.8486,23.53
861,C1V230,高中,120.7086,23.1366
862,C0W120,西嶼,119.4603,23.5643
863,C0A950,鼻頭角,121.9153,25.1308
864,01E170,南庄(1),120.9922,24.5988
865,C1I500,大尖山,120.9867,23.8603
866,C1Z140,荖溪,121.4515,23.8924
867,CM0020,天母棒球,121.5255,25.1162
868,C0AH70,松山,121.5422,25.0505
