,SiteId,SiteName,TWD67Lon,TWD67Lat
146,C0X280,將軍,120.1277,23.2167
147,C0X250,新營,120.3086,23.3124
148,C0M720,番路,120.546,23.4664
149,C0X210,白河,120.4063,23.3492
150,C0G730,二林,120.3679,23.9051
151,C0I410,名間,120.6933,23.8388
152,C0I380,集集,120.7933,23.83
153,C0I360,水里,120.8417,23.8143
154,C0I390,仁愛,121.1241,24.0239
155,C1I430,翠華,121.2161,24.1937
156,C0I420,國姓,120.8469,24.0396
157,C0I370,魚池,120.9332,23.8975
158,C1I400,凌霄,120.9963,24.0206
159,81S910,膽曼,121.4047,23.2267
160,81S900,加拿國小,121.1229,23.0028
161,81S890,初鹿國中,121.0843,22.8517
162,81S880,愛國埔分,120.9147,22.4595
163,81R650,丹路國小,120.7433,22.2051
164,81R640,佳義國小,120.6229,22.6549
165,81V820,建山國小,120.6748,23.1072
166,81O960,崁頭山,120.4935,23.2696
167,81M670,新美國小,120.675,23.3396
168,81M660,阿里山國,120.6936,23.4708
169,81AH40,精忠,121.5322,24.9597
170,88T830,和中,121.7336,24.2726
171,O1R630,崁頂,120.503,22.515
172,O1I360,楠溪,120.8998,23.4746
173,O1M650,外來吉,120.7319,23.5314
174,O1M640,豐山,120.7386,23.5764
175,O1AH30,吉林國小,121.8794,24.9875
176,O1AH20,上林國小,121.8253,25.0311
177,O1V820,圓富國中,120.501,22.9284
178,O1V810,溝坪,120.5009,22.9925
179,O1V550,多納(1),120.708,22.912
180,O1V540,高中(2),120.7107,23.1321
181,O1V520,民權,120.6886,23.2421
182,O1V510,寶山,120.7008,23.0384
183,O1T820,太平國小,121.312,23.4075
184,O1T810,卓清國小,121.2639,23.2802
185,O1T800,奇美國小,121.4378,23.4987
186,O1S690,神山,120.7202,22.7508
187,O1S680,金針山,120.9445,22.6446
188,O1S660,賓茂國小,120.9463,22.5342
189,O1S650,利吉國小,121.131,22.8405
190,O1R620,新庄國小,120.4803,22.5619
191,O1N1A0,大竹坑,120.5689,23.1435
192,O1D590,成德中學,120.9445,24.7916
193,O1D580,內湖國小,120.8987,24.7439
194,O1D570,新城國小,120.9592,24.7352
195,01W010,望安,119.4924,23.3591
196,01V070,天池,120.9088,23.2794
197,01V060,梅山(2),120.8168,23.2673
198,01U790,清水,121.6281,24.6135
199,01U780,四季,121.4184,24.4896
200,01U560,太平山(1,121.5282,24.4963
201,01U460,五峰,121.7392,24.8334
202,01U450,樟林,121.7415,24.4276
203,01U230,大濁水,121.7309,24.3307
204,01U190,新北城,121.7407,24.6826
205,01U130,冬山,121.776,24.6374
206,01U120,新寮(1),121.7439,24.6268
207,01U080,南山,121.3712,24.4388
208,01U070,留茂安,121.4434,24.5336
209,01U060,梵梵(2),121.5183,24.6136
210,01U050,土場(1),121.4883,24.5747
211,01T9L0,東富,121.4823,23.6846
212,01T9J0,六十石山,121.3149,23.2194
213,01T730,豐濱,121.5124,23.6042
214,01T720,明里,121.2436,23.2041
215,01T670,新東礦,121.3954,23.8166
216,01T660,馬太安,121.3638,23.6745
217,01T560,西林,121.4239,23.821
218,01T500,北埔,121.5963,24.0389
219,01T230,立山,121.3045,23.4319
220,01T220,卓麓(4),121.2595,23.2978
221,01S870,北源,121.2929,23.0393
222,01S860,電光,121.1738,23.0081
223,01S610,台東(7),121.1506,22.7553
224,01S570,上里,121.049,22.8791
225,01S560,南鵝,121.0163,22.7681
226,01S440,新武(3),121.1148,23.1344
227,01S430,霧鹿,121.0333,23.171
228,01S360,紹家,120.8501,22.3814
229,01S270,樟原(1),121.4514,23.4056
230,01S260,忠勇,121.4309,23.3293
231,01S210,知本(5),120.991,22.6927
232,01S130,武陵,121.1073,22.9715
233,O1R450,新豐(1),120.6091,22.8572
234,01R440,泗林,120.5615,22.5474
235,01R040,士文,120.6556,22.3701
236,01R030,大漢山,120.675,22.4211
237,01R000,壽卡,120.8276,22.247
238,01Q930,三地門,120.6412,22.7102
239,01Q920,新瑪家,120.6787,22.6772
240,01Q870,石門,120.7669,22.1277
241,01Q860,牡丹,120.8287,22.1774
242,01Q610,古夏,120.6364,22.768
243,01Q360,南和,120.6303,22.4364
244,01Q350,新來義,120.6703,22.5288
245,01Q250,泰武(1),120.6873,22.6086
246,01P770,美濃(2),120.5321,22.8948
247,01P660,甲仙(2),120.5796,23.0857
248,01P500,阿蓮(2),120.3191,22.8781
249,01P390,金山,120.3901,22.8136
250,01P280,古亭坑,120.3964,22.8946
251,01P190,木柵,120.4589,22.9774
252,01O760,關山,120.587,23.1751
253,01O750,王爺宮,120.3923,23.224
254,01O710,虎頭埤,120.3291,23.0275
255,01O200,北寮,120.4883,23.2922
256,01O190,東原,120.4378,23.2671
257,01O080,六溪,120.4512,23.3108
258,01O070,關子嶺(2,120.4989,23.3327
259,01N860,崎頂,120.3517,22.9667
260,01N850,南化(2),120.4712,23.0463
261,01M010,溪口(3),120.3919,23.5893
262,01L910,中坑(3),120.5128,23.5722
263,01L490,沙坑,120.5124,23.5321
264,01L480,樟腦寮(2,120.5945,23.5348
265,01L390,大湖山,120.6121,23.4769
266,01L360,小公田(2,120.6336,23.4263
267,01K060,褒忠(2),120.3029,23.7029
268,01J970,草嶺(2),120.6875,23.5859
269,01J960,大埔,120.6073,23.6322
270,01J930,林內(1),120.6044,23.757
271,01J100,西螺(2),120.4567,23.8023
272,01H780,內茅埔(2,120.8437,23.6924
273,01H720,清流(1),120.9452,24.0681
274,01H680,北山(2),120.8847,23.9873
275,01H630,草屯(4),120.6708,23.9743
276,01H590,六分寮,120.6299,23.9279
277,01H470,西巒,120.9095,23.7124
278,01H400,東埔,120.9202,23.5636
279,01H390,望鄉,120.9197,23.6211
280,01H310,翠峰,121.1911,24.1088
281,01H210,翠巒,121.1954,24.1844
282,01H110,桶頭(2),120.6495,23.6464
283,01G240,萬興(2),120.4088,23.9572
284,01G090,頭汴,120.4759,24.087
285,01F680,頭汴坑,120.803,24.1169
286,01F350,雪嶺,121.0173,24.2813
287,01F100,八仙山(1,120.987,24.128
288,01E390,大潭,120.8126,24.637
289,01E380,大河,120.9381,24.6193
290,01E370,和興,120.9049,24.5298
291,01E330,大坪頂,120.7196,24.4272
292,01E310,南勢山,120.7271,24.5898
293,01E290,三義(2),120.7619,24.416
294,01E270,大湖(1),120.8617,24.4254
295,01E240,珊珠湖,120.9521,24.6888
296,01E230,卓蘭(2),120.805,24.3068
297,01E120,大埔,120.89,24.7112
298,01E080,松安,120.9778,24.3996
299,01E060,象鼻(1),120.9402,24.3622
300,01E030,橫龍山,120.9606,24.4717
301,01D310,新埔(1),121.0632,24.8312
302,01D300,關西(3),121.1722,24.782
303,01D180,梅花,121.2004,24.6793
304,01D110,清泉,121.0953,24.5749
305,O1S120,鹿鳴橋,121.0784,22.9004
306,00Q070,屏東(5),120.4583,22.6567
307,O1P470,旗山(4),120.4736,22.8813
308,O1J810,北港(2),120.2938,23.5797
309,00H810,惠蓀(2),121.0241,24.0925
310,00H710,集集(2),120.7668,23.828
311,O1H540,龍神橋,120.8635,23.7818
312,O1F390,雙崎(2),120.9019,24.2941
313,01A160,林口(1),121.3686,25.079
